date,retailer,ean_barcode,product_name,price_eur,source
2026-08-30,EDEKA,,Knorr Schlemmersauce,0.99,marktguru-offers
2026-08-30,EDEKA,,Feinkost Dittmann Forellen Caviar,3.99,marktguru-offers
2026-08-30,EDEKA,,Lysell Feinmarinaden,1.69,marktguru-offers
2026-08-30,EDEKA,,Dovgan Plombir Eiscreme Vanille,2.79,marktguru-offers
2026-08-30,EDEKA,,Frank Rosin Hot Dogs Currywurst tiefgefroren,2.99,marktguru-offers
2026-08-30,EDEKA,,McCain Golden Longs,1.59,marktguru-offers
2026-08-30,EDEKA,,Nuii Ice Cream Salted Caramel & Australian Macadamia,2.22,marktguru-offers
2026-08-30,EDEKA,,Langnese Cremissimo Haselnuss Vanilla Schokolade,1.79,marktguru-offers
2026-08-30,EDEKA,,Gerolsteiner Schorle,2.38,marktguru-offers
2026-08-30,EDEKA,,Good Boy Mega Kautwister,3.98,marktguru-offers
2026-08-30,EDEKA,,Henkell Sekt Sekt Piccolo,3.98,marktguru-offers
2026-08-30,EDEKA,,Küchle Vegan-Knabber Esspapier,1.98,marktguru-offers
2026-08-30,EDEKA,,Nivea Deo Stick,6.98,marktguru-offers
2026-08-30,EDEKA,,Fit Spülmittel,3.98,marktguru-offers
2026-08-30,EDEKA,,Glade (by Brise) Eins Nachfüller,5.98,marktguru-offers
2026-08-30,EDEKA,,Sunil Waschmittel,25.98,marktguru-offers
2026-08-30,EDEKA,,La Española Olivenöl,13.98,marktguru-offers
2026-08-30,EDEKA,,Maggi Würze,4.98,marktguru-offers
2026-08-30,EDEKA,,Tillman‘s Toasty,7.98,marktguru-offers
2026-08-30,EDEKA,,Del Monte Pfirsiche,7.78,marktguru-offers
2026-08-30,EDEKA,,Barilla Pasta Protein Plus,5.98,marktguru-offers
2026-08-30,EDEKA,,Hafervoll Bio-Flapjack,3.58,marktguru-offers
2026-08-30,EDEKA,,Manner Knuspino,2.78,marktguru-offers
2026-08-30,EDEKA,,Andros Be Nuts! Erdnusscreme,6.98,marktguru-offers
2026-08-30,EDEKA,,Rewe Beste Wahl Fruchtjoghurt,0.58,marktguru-offers
2026-08-30,EDEKA,,Krüger Family Cappuccino,2.79,marktguru-offers
2026-08-30,EDEKA,,Käfer Kaffee Caffé,10.99,marktguru-offers
2026-08-30,EDEKA,,Meßmer Ländertee,1.59,marktguru-offers
2026-08-30,EDEKA,,Mövenpick Caffè Crema,13.99,marktguru-offers
2026-08-30,EDEKA,,Mövenpick Kaffee Der Himmlische,6.99,marktguru-offers
2026-08-30,EDEKA,,Storck Toffifee,3.99,marktguru-offers
2026-08-30,EDEKA,,Nestlé KitKat Cookie Dough,1.79,marktguru-offers
2026-08-30,EDEKA,,Nescafé Espresso Concentrate,4.44,marktguru-offers
2026-08-30,EDEKA,,Griesson Soft Cake,1.99,marktguru-offers
2026-08-30,EDEKA,,Milka Choco Wafer,1.99,marktguru-offers
2026-08-30,EDEKA,,Ferrero Kinder Schoko-Bons,2.99,marktguru-offers
2026-08-30,EDEKA,,Dallmayr Capsa,2.69,marktguru-offers
2026-08-30,EDEKA,,Funny Frisch Ofen Chips,1.11,marktguru-offers
2026-08-30,EDEKA,,Carabao Energy Drink Original,0.99,marktguru-offers
2026-08-30,EDEKA,,Capri Sun Soft Chews,1.99,marktguru-offers
2026-08-30,EDEKA,,Dörffler Würstchen,2.99,marktguru-offers
2026-08-30,EDEKA,,Wolfram Berge Tessiner Senfsaucen Grüne Feige,4.99,marktguru-offers
2026-08-30,EDEKA,,Maggi Fix Nudel-Schinken Gratin,0.49,marktguru-offers
2026-08-30,EDEKA,,Saupiquet Thunfisch-Salat,2.29,marktguru-offers
2026-08-30,EDEKA,,Knorr Soße,0.99,marktguru-offers
2026-08-30,EDEKA,,Mutti Tomatenpesto Rosso,2.49,marktguru-offers
2026-08-30,EDEKA,,Knorr Feinschmecker Suppe,0.88,marktguru-offers
2026-08-30,EDEKA,,Knorr Pasta-Snack-Pot Brokkoli & Kase,0.99,marktguru-offers
2026-08-30,EDEKA,,Barilla Pasta Spezialitäten Collezione,1.49,marktguru-offers
2026-08-30,EDEKA,,Bodegas Torres Vina Sol Parellada,4.99,marktguru-offers
2026-08-30,EDEKA,,Steitz & Beck Weinfreunde Wein,3.99,marktguru-offers
2026-08-30,EDEKA,,Finsbury London Dry Gin,8.99,marktguru-offers
2026-08-30,EDEKA,,Granbeau Rosé,4.99,marktguru-offers
2026-08-30,EDEKA,,Weingut Tres Reyes Tempranillo-Syrah,5.49,marktguru-offers
2026-08-30,EDEKA,,Lenz Moser Selection,4.99,marktguru-offers
2026-08-30,EDEKA,,Smirnoff Ice Vodka,1.99,marktguru-offers
2026-08-30,EDEKA,,J. Hettinger Qualitätswein,2.99,marktguru-offers
2026-08-30,EDEKA,,Baileys The Original Irish Cream Liqueur,9.99,marktguru-offers
2026-08-30,EDEKA,,Söhnlein Brillant Sekt,2.79,marktguru-offers
2026-08-30,EDEKA,,Fürst Von Metternich Sekt,5.99,marktguru-offers
2026-08-30,EDEKA,,Campari Bitter Aperitif,10.99,marktguru-offers
2026-08-30,EDEKA,,Jameson Irish Whiskey,14.99,marktguru-offers
2026-08-30,EDEKA,,Hendrick‘s Gin,27.99,marktguru-offers
2026-08-30,EDEKA,,Wodka Gorbatschow Original,6.49,marktguru-offers
2026-08-30,EDEKA,,Skyy Vodka,9.99,marktguru-offers
2026-08-30,EDEKA,,Purina Gourmet Soup Royale,2.79,marktguru-offers
2026-08-30,EDEKA,,Syoss Permanente Coloration,4.99,marktguru-offers
2026-08-30,EDEKA,,Schwarzkopf Taft Styling Gel,2.69,marktguru-offers
2026-08-30,EDEKA,,Neutrogena Bodylotion,3.99,marktguru-offers
2026-08-30,EDEKA,,Tesori d’Oriente Cremedusche,2.39,marktguru-offers
2026-08-30,EDEKA,,Kneipp Sekunden-Handcreme,2.49,marktguru-offers
2026-08-30,EDEKA,,Dr. Oetker Rote Grütze,1.99,marktguru-offers
2026-08-30,EDEKA,,Nestlé Smarties & Joghurt,0.69,marktguru-offers
2026-08-30,EDEKA,,Milram Buttermilch Drink,1.29,marktguru-offers
2026-08-30,EDEKA,,Becel Gold,1.39,marktguru-offers
2026-08-30,EDEKA,,Rügenwalder Mühle Vegane Pommersche,1.79,marktguru-offers
2026-08-30,EDEKA,,Rama Cremefine,1.99,marktguru-offers
2026-08-30,EDEKA,,Meine Lieblinge Louisiana Flusskrebse,2.39,marktguru-offers
2026-08-30,EDEKA,,Zott Monte Maxi,1.49,marktguru-offers
2026-08-30,EDEKA,,Der Große Bauer Stracciatella,0.49,marktguru-offers
2026-08-30,EDEKA,,Arla Skyr,1.49,marktguru-offers
2026-08-30,EDEKA,,Müllermilch,0.79,marktguru-offers
2026-08-30,EDEKA,,Arla Frischmilch,1.29,marktguru-offers
2026-08-30,EDEKA,,Rougette Ofenkäse,3.99,marktguru-offers
2026-08-30,EDEKA,,Hellas Halloumi Grill- und Bratkäse,2.39,marktguru-offers
2026-08-30,EDEKA,,Grünländer Scheiben,1.69,marktguru-offers
