retailer,product_name,ean_barcode,category,price_eur,price_date,collected_at,source
ALDI,1x Aldi 04.26 Kidneybohnen,4061458016988,plant based foods and beverages,0.79,2024-06-17,2026-08-30,open-prices
ALDI,ALDI ALL SEASONS Gehackte Tomate,4068706937774,plant based foods and beverages,0.69,2026-03-11,2026-08-30,open-prices
ALDI,"ALDI ALL SEASONS Kräuter im Beutel Italienische Kräuter, 75 g Aus der Tiefkühlung 0.95 Beutel 1kg 12.67€/9.50€/6.33€ 202",4061458003001,plant based foods and beverages,0.99,2025-05-28,2026-08-30,open-prices
ALDI,ALDI All Seasons Tomaten ganz Tomaten aus Italien; geschält 0.59€ 425-ml-Dose Liter = 1.39€,4068706937798,plant based foods and beverages,0.59,2026-03-07,2026-08-30,open-prices
ALDI,ALDI BIHOPHAR Blütenhonig-Spezialität Gelée Royale -33 % 4.99€ UVP 7.49€ 500-g-Glas 1kg = 9.98€,40555232,breakfasts,4.99,2026-05-07,2026-08-30,open-prices
ALDI,ALDI BIO Bio MEHL Dinkelmehl Vollkorn 1.25€ 1kg Packung 1kg 1.25€,4061459600636,plant based foods and beverages,1.35,2025-04-05,2026-08-30,open-prices
ALDI,"ALDI FAIR Rohrzucker, Fairtrade Fein Dauertiefpreis 1.49€ 500-g-Packung 1kg 2.98€",4061462220906,sweeteners,1.69,2024-06-17,2026-08-30,open-prices
ALDI,ALDI GEMÜSE Tasty Tom Mini-Rispentomaten 1.79€ 500g 1kg,29061914,plant based foods and beverages,2.39,2024-10-01,2026-08-30,open-prices
ALDI,ALDI Goldähren MEHL Dinkel Volkornmehl für dunkle Brote & Gebäcke dunkel & rustikal (dunkelblau) 1kg 1.19€,4061458131254,plant based foods and beverages,1.19,2025-04-17,2026-08-30,open-prices
ALDI,ALDI Grandessa confiture de fraise,4061458013642,plant based foods and beverages,1.49,2024-05-18,2026-08-30,open-prices
ALDI,ALDI Hafer-Heidi Haferbrot mit Leinsamen 1.89€ 450g Packung 1kg 4.20€,2009010234281,Lebensmittel,1.89,2024-10-12,2026-08-30,open-prices
ALDI,ALDI KING‘S CROWN Schältomaten ATG 240g,4061458016926,plant based foods and beverages,0.79,2024-06-17,2026-08-30,open-prices
ALDI,ALDI KÄSE MEINE KÄSETHEKE Bergkäse Original aus Österreichischer Bergkäse am Stück 3.99€ 350-g-Packung 1kg = 11.40€,4061459777338,dairies,3.99,2025-09-09,2026-08-30,open-prices
ALDI,ALDI MEINE KÄSETHEKE Appenzeller,4061458215787,dairies,3.29,2024-04-02,2026-08-30,open-prices
ALDI,ALDI Plattnektarinen Weißfleischig Klasse 1 Spanien 1.89€ 500g Packung 1kg 3.78€,2009010142173,Lebensmittel,1.99,2024-06-21,2026-08-30,open-prices
